base_offset	offset	absdelta	probe_length	millis
79411616256	668123648	1434081280	512	78.977458
668123648	79950128640	1972593664	512	31.711462
79950128640	476399104	2130649088	512	27.659574
476399104	79272473600	1486663168	512	24.429729
79272473600	506932224	1456130048	512	23.267189
506932224	79265221632	1448878080	512	31.102991
79265221632	41139200	1914671104	512	31.624809
41139200	79814851072	1830666752	512	31.528757
79814851072	328459776	2117987328	512	24.385971
328459776	79990335488	1942502912	512	29.006744
79990335488	687835136	1993089024	512	30.030738
687835136	79686711808	1689465344	512	23.464353
79686711808	299848192	2077452288	512	26.757005
299848192	79754267648	2145008128	512	32.382288
79754267648	206721536	2056832512	512	29.031355
206721536	79379011072	1862878208	512	26.608467
79379011072	466686976	1602912768	512	24.853882
466686976	79623457792	1847359488	512	24.651191
79623457792	622233088	1691813376	512	23.238053
622233088	79523056128	1591411712	512	29.291329
79523056128	283344896	1930299904	512	27.793938
283344896	79304536064	1711779840	512	21.736270
79304536064	280573440	1714551296	512	31.393721
280573440	79650415616	2060430848	512	26.130782
79650415616	271861760	2069142528	512	32.240929
271861760	79907131392	1969108992	512	31.017158
79907131392	675606016	1922114048	512	25.407101
675606016	79543047680	1558030336	512	28.090247
79543047680	779652608	1453983744	512	29.658086
779652608	79323007488	1233943552	512	27.536156
79323007488	403907584	1609688576	512	22.905944
403907584	79393728000	1680409088	512	31.576763
79393728000	542512640	1541804032	512	22.960371
542512640	79594444288	1742520320	512	24.702549
79594444288	191719424	2093313536	512	28.245762
191719424	79350144512	1849013760	512	27.690894
79350144512	145916928	1894816256	512	30.049132
145916928	79709172224	2041123328	512	22.614298
79709172224	511325696	1888435200	512	22.129038
511325696	79746495488	1925758464	512	27.235394
79746495488	577390080	1859694080	512	29.246766
577390080	79601615872	1714814464	512	27.925329
79601615872	4884480	2007647232	512	23.175982
4884480	79456834048	2142538240	512	32.050819
79456834048	627795968	1519626752	512	24.143753
627795968	79433829376	1496622080	512	32.809894
79433829376	374265856	1750152192	512	32.385632
374265856	79537731072	1854053888	512	29.110729
79537731072	187438080	2040881664	512	32.133396
187438080	79729402368	2062414336	512	21.981711
79729402368	233960960	2108937216	512	31.127620
233960960	79307931136	1764558848	512	23.716622
79307931136	35399168	1963120640	512	30.500011
35399168	79556568576	2083209216	512	32.248393
