base_offset	offset	absdelta	probe_length	millis
8436371968	8434626560	1745408	512	10.944910
74970340864	74968539136	1801728	512	10.368252
22604191744	22602258432	1933312	512	3.448840
2155631616	2154569728	1061888	512	6.736855
52706733056	52704790528	1942528	512	2.688931
61422801920	61420813312	1988608	512	4.697695
26634125824	26632333312	1792512	512	5.029819
78330022912	78328960512	1062400	512	3.164923
78387161600	78385657344	1504256	512	2.982692
65596452352	65594740224	1712128	512	1.919978
3222712320	3221614080	1098240	512	3.749462
51729180160	51727450112	1730048	512	10.505005
51891070464	51889426944	1643520	512	12.959518
16929015808	16926962176	2053632	512	9.888215
74056228352	74054247936	1980416	512	12.888263
39213908480	39212121600	1786880	512	12.947451
45918520832	45917177344	1343488	512	2.628679
14062134272	14060267520	1866752	512	5.864382
64675835392	64674378240	1457152	512	12.029924
20420509184	20419112448	1396736	512	6.582786
45300565504	45299010048	1555456	512	6.116390
31417909248	31416725504	1183744	512	9.826157
72724676608	72723148800	1527808	512	2.363232
7709907968	7708398080	1509888	512	5.142519
73388984832	73387590144	1394688	512	5.206245
52636737024	52635651072	1085952	512	10.130240
7141429760	7139336192	2093568	512	12.464697
67684923904	67683812864	1111040	512	12.480978
35874384896	35872705536	1679360	512	12.851719
17681342464	17679867392	1475072	512	4.785344
53031430144	53030340096	1090048	512	8.204633
48212261888	48210849792	1412096	512	11.836839
77263598080	77262203392	1394688	512	9.417548
19551305728	19549838848	1466880	512	4.937128
41741532672	41739836416	1696256	512	4.189758
46464531968	46462479360	2052608	512	1.998173
46409037824	46407285248	1752576	512	11.928914
62508639232	62506628608	2010624	512	3.945038
20428207104	20426491392	1715712	512	8.436505
22719742464	22718511616	1230848	512	12.280870
67977380352	67975774208	1606144	512	3.214541
64690636800	64688545280	2091520	512	9.959906
40326917632	40325604352	1313280	512	4.852930
47624890368	47623814656	1075712	512	9.859799
63627611136	63626491392	1119744	512	9.923923
41002569216	41001089024	1480192	512	9.801878
15538096128	15536395264	1700864	512	8.810766
23098232320	23096873472	1358848	512	6.318804
24533997056	24531967488	2029568	512	8.669851
25571186176	25569536000	1650176	512	10.314840
72505197568	72503858688	1338880	512	9.125554
62848062976	62846867968	1195008	512	12.195296
45698688000	45697203200	1484800	512	9.924396
64654909440	64653715968	1193472	512	11.332779
64026436096	64024735232	1700864	512	2.271751
49111703552	49110037504	1666048	512	3.194555
33055035904	33053551616	1484288	512	2.464426
33635731968	33634409984	1321984	512	5.969174
53606466048	53605087232	1378816	512	8.244283
55652248576	55650755072	1493504	512	4.958581
29515604480	29513543680	2060800	512	8.673247
41190479360	41188410368	2068992	512	3.785533
58878042624	58876457984	1584640	512	11.102120
72531605504	72529585152	2020352	512	5.121973
11981230592	11980080128	1150464	512	3.532903
79709160448	79707922432	1238016	512	2.659896
41608823808	41607258624	1565184	512	9.384867
2345060352	2343221248	1839104	512	8.452126
78652507648	78650707456	1800192	512	12.656646
46906381312	46904372736	2008576	512	3.236809
42145253376	42143376896	1876480	512	7.726033
68474238976	68472864768	1374208	512	12.790048
16099949056	16098003456	1945600	512	3.145693
47096595456	47095328256	1267200	512	4.675488
38772878336	38771112448	1765888	512	2.383695
21505705984	21504260096	1445888	512	5.480966
15420485632	15418996736	1488896	512	4.460167
69927220736	69925159424	2061312	512	6.774806
74137178624	74136044032	1134592	512	5.670553
18706865152	18704778752	2086400	512	8.997763
61807650304	61805877248	1773056	512	2.125651
25977694720	25976285184	1409536	512	5.008783
57938188800	57937124352	1064448	512	7.535456
29938421760	29937321472	1100288	512	2.676831
72302370816	72300850688	1520128	512	2.612091
27207663104	27206352896	1310208	512	7.203031
59049239552	59047652352	1587200	512	11.072438
8499537408	8497740288	1797120	512	7.984218
10593704448	10591892992	1811456	512	7.110741
6344267264	6342602240	1665024	512	12.788214
38956118016	38954429952	1688064	512	6.272173
50078244352	50076393472	1850880	512	7.824375
53370934784	53369434112	1500672	512	4.715636
51241102848	51239644672	1458176	512	9.495986
40580037632	40578769408	1268224	512	6.016121
37694174720	37692487680	1687040	512	5.391006
32702878208	32700947968	1930240	512	11.895924
13966116864	13964083200	2033664	512	13.175398
7064070656	7062792192	1278464	512	12.156085
66355859456	66353996800	1862656	512	6.279524
3408957952	3407265792	1692160	512	11.076707
60806242816	60804260864	1981952	512	6.415993
56695822848	56693940736	1882112	512	8.535357
43386661888	43385037312	1624576	512	5.076033
13944828416	13942829568	1998848	512	2.839722
964525568	963058688	1466880	512	7.222041
76168595968	76167450624	1145344	512	3.590298
57943853568	57941931008	1922560	512	11.867562
59109266432	59107170816	2095616	512	2.960980
16184262144	16182561280	1700864	512	8.783700
32747437056	32745713152	1723904	512	5.832411
4142221312	4140612096	1609216	512	3.668827
53145867776	53144506880	1360896	512	9.779452
10163624960	10162480640	1144320	512	3.710011
67669487616	67667411456	2076160	512	7.709367
23524493824	23522464256	2029568	512	10.523438
33252219904	33250820096	1399808	512	4.022753
51825270272	51823998976	1271296	512	3.031343
21325948416	21324236800	1711616	512	10.411360
53591599616	53589695488	1904128	512	2.325411
57747464704	57745612800	1851904	512	2.854816
29154336768	29152484352	1852416	512	2.657881
55904796160	55902822912	1973248	512	11.347280
28283792896	28282526208	1266688	512	10.233220
36562954752	36560859648	2095104	512	6.077850
30202029056	30200943616	1085440	512	12.259297
77519959552	77518245376	1714176	512	5.203640
23276844032	23275645952	1198080	512	11.952776
21448151552	21446645760	1505792	512	2.191525
68704610816	68702854656	1756160	512	7.411928
6817091584	6815993344	1098240	512	5.088804
52758829568	52757098496	1731072	512	10.491005
57551511040	57549820416	1690624	512	7.586641
12893696512	12891635200	2061312	512	12.499979
11135650816	11133657088	1993728	512	2.941949
71926850048	71925131264	1718784	512	6.625733
2857003520	2855762944	1240576	512	11.756659
55243397632	55241625088	1772544	512	8.109752
18884806656	18883388416	1418240	512	6.080569
32296937984	32295743488	1194496	512	11.410919
43311020032	43309652992	1367040	512	2.677884
78296630272	78295576576	1053696	512	3.504843
29221692928	29220322304	1370624	512	5.241004
71691007488	71689768448	1239040	512	3.435392
30030046720	30028991488	1055232	512	12.987284
45526495232	45524592640	1902592	512	6.049576
7637476864	7635724288	1752576	512	8.948875
62487896576	62486011392	1885184	512	7.888577
17027774464	17026388480	1385984	512	6.845684
74092362752	74091155456	1207296	512	2.945457
36949436416	36947625472	1810944	512	2.247632
7556722688	7554736128	1986560	512	3.739151
37187676672	37186595328	1081344	512	2.239143
14652328960	14651231744	1097216	512	4.740182
31559781376	31558596608	1184768	512	11.647641
24453111808	24451536384	1575424	512	10.304200
30122180096	30120825856	1354240	512	5.595473
70628285440	70626679808	1605632	512	11.901312
19547697152	19546348544	1348608	512	9.528470
22001946624	22000082944	1863680	512	5.033186
24808550912	24807362560	1188352	512	10.358704
51445263872	51443810304	1453568	512	7.632995
10877695488	10875622400	2073088	512	10.509040
61275906560	61274331648	1574912	512	10.147928
42022169088	42020504064	1665024	512	4.071302
76307406848	76305421312	1985536	512	9.793868
54949142016	54947978752	1163264	512	5.195225
7209981440	7208061440	1920000	512	5.211124
61406421504	61404915200	1506304	512	12.302244
9708525056	9706470912	2054144	512	10.855366
36175529472	36173732352	1797120	512	3.328955
69918821376	69917199360	1622016	512	12.737048
9769827328	9767902720	1924608	512	4.541239
62091594752	62089902592	1692160	512	6.454509
63946879488	63944969216	1910272	512	6.626717
