base_offset	offset	absdelta	probe_length	millis
158781015040	381029888	513804800	512	72.299118
381029888	159584353792	289533952	512	29.506484
159584353792	1343621632	673057792	512	29.416210
1343621632	158522908672	1734502912	512	21.619243
158522908672	751400448	1142281728	512	23.716123
751400448	160035991552	370801152	512	24.585669
160035991552	1137855488	15653888	512	24.094062
1137855488	158684152320	1367493120	512	31.574769
158684152320	131778048	361415680	512	21.333984
131778048	159454686208	409118208	512	30.440074
159454686208	479091712	61804544	512	29.488978
479091712	158556338688	836542976	512	24.947008
158556338688	533515776	890967040	512	27.623312
533515776	159901785600	454479872	512	29.428919
159901785600	1116003840	128008192	512	28.388527
1116003840	158808646144	1221147648	512	31.399045
158808646144	1519444992	1624588800	512	27.072053
1519444992	159429415424	1003819520	512	25.707712
159429415424	696085504	180460032	512	25.232793
696085504	158636209664	973665792	512	24.161002
158636209664	317291520	594871808	512	29.591732
317291520	159615634432	384552960	512	30.278389
159615634432	519521280	182323200	512	27.492231
519521280	158931086848	502224384	512	31.077432
158931086848	670457856	653160960	512	27.879637
670457856	159640009728	55761920	512	30.225872
159640009728	826201600	99981824	512	29.996896
826201600	159636787200	103204352	512	26.850027
159636787200	1464128512	741131264	512	30.328138
1464128512	158683583488	1694334976	512	33.515988
158683583488	1312571904	1542778368	512	22.077910
1312571904	159398968320	827393536	512	25.480805
159398968320	632071168	146892800	512	22.842747
632071168	159889497600	343636480	512	22.032956
159889497600	549009408	426698240	512	33.153704
549009408	159377175552	85623808	512	22.963538
159377175552	1568815616	1105430016	512	26.103110
1568815616	158995026432	1487579136	512	30.314321
158995026432	457595392	376358912	512	26.264369
457595392	159900120064	528734720	512	24.281205
159900120064	407796224	578533888	512	26.334304
407796224	158723174400	598411776	512	24.282300
158723174400	518126080	708741632	512	24.291090
518126080	159466482688	34566656	512	22.686227
159466482688	826733568	274040832	512	23.639893
826733568	159921603584	181080064	512	29.384248
159921603584	1588232704	580419072	512	30.348685
1588232704	158958623232	1543399424	512	21.054126
158958623232	463348224	418514944	512	32.067206
463348224	158451206144	925932032	512	23.926012
158451206144	116331520	578915328	512	26.804701
116331520	158817958400	212163072	512	31.750742
158817958400	422126080	517957632	512	26.118286
422126080	159013788160	322127872	512	29.201537
159013788160	219453952	119455744	512	24.573269
219453952	159827803648	694559744	512	23.078204
159827803648	792991232	121022464	512	31.712679
792991232	159438854656	267926528	512	32.096325
159438854656	956627456	431562752	512	27.901583
956627456	159026456064	843961344	512	29.152292
159026456064	948418560	835752448	512	31.453331
948418560	159258561536	603646976	512	30.874248
159258561536	1561062912	1216291328	512	23.412468
1561062912	159869204992	605647872	512	27.314276
159869204992	1388055040	432640000	512	22.651487
1388055040	159498908672	802936320	512	23.276247
159498908672	1311319040	726200320	512	28.584745
1311319040	160008731648	216377344	512	22.781882
160008731648	1434092032	339150336	512	23.299934
1434092032	159523803648	824078336	512	30.403869
159523803648	636093440	26079744	512	22.851688
636093440	158580457472	969425920	512	27.180836
158580457472	1465638400	1798970880	512	29.095991
1465638400	158856206336	1523222016	512	33.215736
158856206336	979100160	1036683776	512	30.874577
979100160	159242425856	650464256	512	29.029734
159242425856	590926848	262290944	512	32.093325
590926848	158550784000	953932800	512	31.640004
158550784000	208387072	571393024	512	26.241393
208387072	159437233152	315056128	512	28.402651
159437233152	1382521856	859078656	512	28.114361
1382521856	158568079872	1728231936	512	28.407112
158568079872	856122880	1201832960	512	29.259712
856122880	159650698752	119214080	512	23.783400
159650698752	577940992	158967808	512	25.271383
577940992	159433539072	58191872	512	25.048019
159433539072	448192512	71556608	512	24.717606
448192512	160023881728	661899264	512	28.057600
160023881728	97356288	1012735488	512	25.420005
97356288	159552677376	541531136	512	21.341956
159552677376	321748992	317138432	512	29.716585
321748992	159061915648	173623296	512	30.365028
159061915648	694615552	546489856	512	33.678335
694615552	158779376128	829029376	512	21.268085
158779376128	983019008	1117432832	512	30.600821
983019008	158684614144	1212194816	512	27.770089
158684614144	1121331200	1350507008	512	24.074125
1121331200	159697235456	337885696	512	30.964319
159697235456	1057067520	273622016	512	28.544942
1057067520	159073667072	897190400	512	28.237065
159073667072	930070528	770193408	512	25.620308
930070528	159719489536	124370944	512	30.818793
159719489536	927812096	122112512	512	23.644365
927812096	158651162112	1190439936	512	29.528507
158651162112	1392005632	1654633472	512	26.910164
1392005632	159334766592	971028992	512	22.532985
159334766592	1287419904	866443264	512	27.304116
1287419904	158791753728	1409456128	512	22.872294
158791753728	1175454208	1297490432	512	27.347503
1175454208	159753897984	335346176	512	22.659374
159753897984	1451151360	611043328	512	31.101323
1451151360	159088599040	1276342272	512	29.156491
159088599040	409160192	234351104	512	27.165892
409160192	158973890560	349059584	512	30.872267
158973890560	608965120	548864512	512	21.826544
608965120	159948584448	425829376	512	30.997494
159948584448	300982784	733811712	512	31.164656
300982784	159084086272	130686464	512	23.068889
159084086272	1413778944	1243482624	512	27.345630
1413778944	159557040128	770528768	512	25.655506
159557040128	938137088	294886912	512	24.410677
938137088	158660165120	1191761920	512	23.550702
158660165120	1327552000	1581176832	512	28.294551
1327552000	159531040256	710301696	512	29.728948
159531040256	1551528960	934278656	512	31.023530
1551528960	158550508032	1914810880	512	26.510257
158550508032	1151732224	1515014144	512	23.208399
1151732224	158784305152	1281217024	512	24.684686
158784305152	224605184	354089984	512	30.060874
224605184	159880074240	741679104	512	21.987003
159880074240	253869568	712414720	512	24.435284
253869568	160005287936	837628416	512	21.700869
160005287936	1005299712	86198272	512	24.355552
1005299712	158902511104	1016578560	512	24.756184
158902511104	1239754752	1251033600	512	31.357564
1239754752	159755748864	397795840	512	27.766714
159755748864	1436648960	594690048	512	27.687893
1436648960	159006977536	1343461376	512	25.785439
159006977536	1040891904	947704320	512	27.172464
1040891904	159648740864	305940992	512	27.158003
159648740864	291900416	443050496	512	26.975225
291900416	158803323392	402366976	512	23.978484
158803323392	1496480768	1606947328	512	24.049351
1496480768	159698747904	711522816	512	27.072733
159698747904	459083264	325874688	512	32.856678
459083264	158761552896	611320320	512	22.497661
158761552896	175903744	328140800	512	31.244351
175903744	159492760064	403066368	512	25.088347
159492760064	240530432	338439680	512	30.344748
240530432	159963227648	808907264	512	23.366514
159963227648	1439627264	390189568	512	31.977987
1439627264	159563889152	789528064	512	32.683951
159563889152	498800128	151299072	512	30.003277
