base_offset	offset	absdelta	probe_length	millis
147552025600	147545150464	6875136	512	8.622241
93201347584	93196334592	5012992	512	9.551896
7550538240	7543454208	7084032	512	12.622445
25177891328	25173457408	4433920	512	10.437873
99027867136	99022910976	4956160	512	6.716435
155909134336	155900946432	8187904	512	6.053512
1536808960	1531366400	5442560	512	2.536721
2167972352	2163129344	4843008	512	8.528007
41371805696	41366042624	5763072	512	5.222776
97531655168	97523784192	7870976	512	9.786262
108881638400	108874963968	6674432	512	11.528492
132290058752	132284218880	5839872	512	8.169867
2356768768	2351634432	5134336	512	11.264461
91818083840	91809925120	8158720	512	6.975143
89668815360	89662458880	6356480	512	4.604680
3858909184	3851189248	7719936	512	10.027841
59728335360	59721037824	7297536	512	6.316539
64577163776	64572144128	5019648	512	7.711522
157943027200	157938244096	4783104	512	11.477556
136516538368	136510741504	5796864	512	11.077339
13870385664	13862295040	8090624	512	5.270349
11901252608	11894376448	6876160	512	5.872637
114266413568	114260625408	5788160	512	2.019463
119091490304	119086668288	4822016	512	5.771676
136882444800	136874898432	7546368	512	7.160262
28579204096	28574093824	5110272	512	11.031658
74062763520	74057160192	5603328	512	5.679085
63857541632	63852975616	4566016	512	4.331776
89334128640	89328693248	5435392	512	4.713612
140069428736	140061286400	8142336	512	4.759052
22955493888	22947431424	8062464	512	9.921079
23870582784	23865782784	4800000	512	6.910409
25929359360	25923111936	6247424	512	6.873910
152974165504	152966416896	7748608	512	6.938247
99237630976	99232558592	5072384	512	7.250430
29953659904	29947841536	5818368	512	8.432067
85848823296	85843265024	5558272	512	5.080970
155214456320	155206300672	8155648	512	10.624050
45998593536	45993932800	4660736	512	3.849718
93779873792	93772350976	7522816	512	2.835788
144995124224	144987398144	7726080	512	6.748216
147115843072	147110903296	4939776	512	8.197527
129556099072	129548976128	7122944	512	9.250455
146109473792	146103721984	5751808	512	10.791116
46091044864	46086780928	4263936	512	6.618304
113877184000	113870530560	6653440	512	2.676984
110298816512	110290651136	8165376	512	5.497356
63586291200	63581820416	4470784	512	11.748853
