base_offset	offset	absdelta	probe_length	millis
249907056640	12620288	786333184	512	29.939500
12620288	248582185984	538537472	512	31.981646
248582185984	210774016	736691200	512	30.973406
210774016	249719747072	400869888	512	32.687391
249719747072	1985916416	1374272512	512	33.177699
1985916416	248942347264	2143294976	512	24.993642
248942347264	644673024	810428928	512	33.499505
644673024	248426920448	1325855744	512	28.679852
248426920448	2026463232	1587321344	512	32.096863
2026463232	248046747136	1207148032	512	35.837416
248046747136	2085394944	1148216320	512	29.389758
2085394944	248018101248	1119570432	512	29.434921
248018101248	369585152	1459587072	512	25.208549
369585152	248131104768	1346583552	512	30.931706
248131104768	2395798016	922170880	512	26.123779
2395798016	248044637696	835703808	512	27.052375
248044637696	1633092096	1598409728	512	30.186552
1633092096	249961942016	779253248	512	27.080791
249961942016	713475584	140363264	512	32.808586
713475584	249407221248	414357504	512	29.530213
249407221248	1395581440	1096463360	512	26.543548
1395581440	248679917568	1823767040	512	29.099724
248679917568	969468416	1397654016	512	27.284073
969468416	248722637312	1354934272	512	28.383853
248722637312	1631082496	2016548352	512	28.175295
1631082496	249754422272	984763392	512	29.392434
249754422272	1990358528	1344039424	512	31.037095
1990358528	249114727936	1983733760	512	34.324421
249114727936	1017861632	1011236864	512	33.195864
1017861632	248137590272	1988374528	512	32.747290
248137590272	1925716992	1398737408	512	28.702534
1925716992	249112529408	1921290752	512	30.978334
249112529408	171566080	167139840	512	33.340776
171566080	248794699264	484969984	512	30.691501
248794699264	1456472576	1769876480	512	33.889973
1456472576	250017538560	547037184	512	32.885429
250017538560	976245248	66809856	512	34.784119
976245248	248360783872	1723564544	512	24.994146
248360783872	943082496	1690401792	512	30.855015
943082496	247697529856	1941311488	512	30.863067
247697529856	2263499776	620894208	512	32.231769
2263499776	249695950336	1675652608	512	25.517606
249695950336	551375360	36471808	512	30.883934
551375360	249054780928	604697600	512	32.410390
249054780928	2419417088	1822227968	512	31.310271
2419417088	248746018816	1513465856	512	26.010978
248746018816	1799267328	2133615616	512	27.720690
1799267328	247858217984	1245814784	512	27.846828
247858217984	916619776	2128462336	512	28.250439
916619776	247694068224	1964312576	512	29.405370
247694068224	1230642176	1650290176	512	24.810059
1230642176	247694282240	1650504192	512	29.359366
247694282240	299612672	1713433600	512	32.236273
299612672	248971502080	436213760	512	27.002133
248971502080	1595982848	1732583936	512	26.286889
1595982848	248952386048	1751699968	512	31.299884
248952386048	2487940608	1651309568	512	25.689917
2487940608	248836994048	1535917568	512	32.467079
248836994048	1237365248	1508474368	512	31.537064
1237365248	248700597760	1644870656	512	33.264434
248700597760	91005440	498510848	512	34.687607
91005440	249071183872	127924736	512	29.576507
249071183872	414730752	451650048	512	31.989827
414730752	248201714176	1321119744	512	35.024805
248201714176	1443037696	1945540608	512	36.126791
1443037696	248901998080	1649142784	512	35.926841
248901998080	1048700928	1254806016	512	32.328100
1048700928	248198770176	1958033920	512	31.498453
248198770176	785878016	1695211008	512	31.159642
785878016	248245924352	1648056832	512	29.573415
248245924352	860157952	1722336768	512	30.323869
860157952	249586287616	381973504	512	34.754052
249586287616	624224768	146040320	512	28.972756
624224768	250011265536	278937600	512	36.179960
250011265536	1920865280	1017702912	512	31.594107
1920865280	249619539968	1409428480	512	25.950460
249619539968	894413824	382977024	512	26.235780
894413824	248158635520	1843881472	512	29.980082
248158635520	1348346880	1997152768	512	31.729437
1348346880	248238885888	2077403136	512	26.740073
248238885888	1571847680	1853902336	512	26.749307
1571847680	249863717888	816232960	512	35.633932
249863717888	1825053184	1069438464	512	33.274685
1825053184	247625787904	987598848	512	29.221457
247625787904	1700734976	1111917056	512	26.012028
1700734976	249675470848	1133367296	512	36.586036
249675470848	1458734592	891366912	512	30.224700
1458734592	248636202496	1930635264	512	33.019066
248636202496	1168030208	1639930880	512	27.167018
1168030208	249033934336	1242199040	512	31.817603
249033934336	1101345280	1175514112	512	30.027998
1101345280	248606348800	1603099648	512	29.433213
248606348800	1807309312	1985903616	512	31.756151
1807309312	249767495680	1147916800	512	32.429179
249767495680	895107072	235714560	512	29.548223
895107072	249130181120	873029120	512	30.332501
249130181120	1801472512	1779394560	512	26.747906
1801472512	247938307584	1323699200	512	30.754921
247938307584	81123840	1250919424	512	32.262475
81123840	247983714816	1205512192	512	30.582234
247983714816	2297072128	873506816	512	31.167368
2297072128	249768636416	1636538880	512	31.688626
249768636416	2298827264	1638294016	512	26.177007
2298827264	249555345408	1851585024	512	25.043405
249555345408	90839552	356402688	512	28.215520
90839552	248636791808	562150912	512	25.006993
248636791808	723584000	1194895360	512	28.790325
723584000	248220503040	1611184128	512	27.926856
248220503040	1259192832	2146792960	512	28.035021
1259192832	249200004096	1167291904	512	32.025290
249200004096	458042368	366141440	512	31.922948
458042368	247936020992	1630124544	512	32.625484
247936020992	2190247424	932637696	512	24.421007
2190247424	248732798976	1729415680	512	28.793423
248732798976	1759089664	2134393856	512	30.782000
1759089664	249389207552	1477985280	512	24.366540
249389207552	1922486272	1641381888	512	32.124205
1922486272	248966317056	2064272384	512	30.059624
248966317056	2213135360	1940045824	512	31.763487
2213135360	248045847040	1019575808	512	27.484079
248045847040	965939200	2028195328	512	25.347657
965939200	249060438528	1013603840	512	25.916693
249060438528	2060232704	2107897344	512	25.528424
2060232704	250040188416	1128147456	512	30.624440
250040188416	1773501952	841416704	512	26.884506
1773501952	248286155264	1699517440	512	31.487359
248286155264	1432044544	2040974848	512	30.808505
1432044544	249298563584	1241584128	512	30.806141
249298563584	1921462784	1731002368	512	28.558805
1921462784	248347067904	1612469248	512	30.808830
248347067904	1656186880	1877745152	512	26.873312
1656186880	249198604800	1565685248	512	26.246674
249198604800	2311919616	2073549312	512	24.770623
2311919616	248070303232	945247744	512	28.536977
248070303232	1152733696	2104433664	512	29.242954
1152733696	247740929024	1775059456	512	25.348809
247740929024	1085217792	1842575360	512	27.246003
1085217792	247708171264	1809817600	512	31.250073
247708171264	1714427392	1180608000	512	31.876457
1714427392	249175884800	1646645760	512	26.310892
249175884800	870881792	803100160	512	26.205427
870881792	247857593856	2121391104	512	29.055216
247857593856	2142079488	902378496	512	31.755626
2142079488	249953128960	1297053696	512	26.256727
249953128960	272509952	572515840	512	28.917858
272509952	249373827584	6785536	512	24.457646
249373827584	399950336	134225920	512	30.047321
399950336	248490498560	1017554944	512	24.777428
248490498560	622436352	1240040960	512	25.452615
622436352	250036288512	305748992	512	26.273072
250036288512	285430784	642754560	512	36.980421
285430784	250047663616	654129664	512	29.109561
250047663616	1527164416	587603968	512	31.384430
1527164416	249802568704	832698880	512	28.201030
249802568704	841465856	147000320	512	31.702652
841465856	248689038336	1260530688	512	25.893564
248689038336	957326336	1376391168	512	29.428098
957326336	248943534592	1121894912	512	29.715225
248943534592	308228096	472796672	512	29.446981
308228096	249700284928	283953664	512	26.622894
249700284928	481362432	110819328	512	31.386900
481362432	248371216384	1218249216	512	26.186628
248371216384	2286685184	1271395328	512	25.915444
2286685184	249207498752	2107677696	512	24.954725
249207498752	285584896	186189312	512	27.253779
285584896	248432487936	961200128	512	31.948694
248432487936	1475102208	2144249856	512	34.382458
1475102208	249016950272	1566255104	512	30.295745
249016950272	1051212288	1142365184	512	37.097272
1051212288	247932921344	2068573184	512	33.841887
247932921344	2241266688	878518784	512	29.547365
2241266688	250052132352	1297237504	512	35.923886
250052132352	2458633216	1514604032	512	34.382602
2458633216	249625091584	1941644800	512	25.236636
249625091584	1816976896	1299988480	512	36.149316
1816976896	249574586368	1350493696	512	32.346314
249574586368	223789056	242694144	512	33.509110
223789056	248984484864	347407360	512	30.256201
248984484864	2020637184	2144255488	512	26.735800
2020637184	249586571776	1542168576	512	27.476937
249586571776	1516258304	1037789696	512	33.011052
1516258304	249602506240	1021855232	512	31.778759
249602506240	133835264	360567808	512	34.279994
133835264	248100453376	1141485056	512	29.545285
248100453376	2412345344	874972160	512	31.288865
2412345344	248742717440	1517236224	512	32.171949
248742717440	112300544	477686272	512	29.915048
112300544	249620513792	400110080	512	29.276118
249620513792	2125144576	1612733952	512	26.516093
2125144576	249600618496	1632629248	512	26.311911
249600618496	1128599552	636084224	512	34.334866
1128599552	248336514560	1900188160	512	36.058708
248336514560	1494011904	2029366784	512	31.539493
1494011904	248468919296	2133195776	512	27.552865
248468919296	2059166720	1596616704	512	27.264829
2059166720	249176470016	1990799872	512	29.443460
249176470016	1056101376	987734528	512	26.420178
1056101376	249068354560	1095849984	512	31.730790
249068354560	1656674304	1696422912	512	30.882638
1656674304	248490536960	2020726784	512	31.881614
248490536960	1557949440	2119451648	512	30.160688
1557949440	248591835648	2074216960	512	29.316241
248591835648	1662615040	2116084736	512	29.742125
1662615040	249340180992	1430537216	512	29.158607
249340180992	1320620032	1088542208	512	28.809680
1320620032	248240426496	2106670592	512	30.340696
248240426496	1754767872	1672522752	512	27.099243
1754767872	249602832384	1260038656	512	30.796717
249602832384	1401350144	906620928	512	30.849285
1401350144	247934909952	1720423936	512	25.539897
247934909952	1052108288	2069665792	512	30.370613
1052108288	248489061888	1671149568	512	30.257930
248489061888	877687296	1496728576	512	24.979434
877687296	249258271232	727519232	512	32.280252
249258271232	2390068224	2055067136	512	29.759068
2390068224	248682468864	1479264768	512	29.824386
248682468864	395542528	821176832	512	32.812792
395542528	249133625344	370020352	512	29.091339
249133625344	644163072	618640896	512	33.597955
644163072	248502538240	1249728000	512	31.850379
248502538240	1608412160	2080990208	512	31.118747
1608412160	249257336832	1459178496	512	28.848839
249257336832	1148652544	999418880	512	30.419452
1148652544	249841504768	415250944	512	29.990199
249841504768	1965860352	1232458752	512	36.253724
1965860352	249582358528	1491604992	512	26.350954
249582358528	113542656	360712704	512	30.253796
113542656	249074374656	147271168	512	27.487632
249074374656	1815955968	1849684480	512	25.021515
1815955968	248682689536	2053597696	512	31.198019
248682689536	1262632960	1688046592	512	29.314610
1262632960	249457389056	913347072	512	30.597157
249457389056	1707955712	1358669824	512	33.896895
1707955712	249245391872	1570667008	512	31.821379
249245391872	611900928	474612224	512	30.655079
611900928	249006047232	713956864	512	35.595739
249006047232	293221376	395277312	512	30.626232
293221376	249389614080	11710464	512	29.276882
249389614080	1430801408	1149290496	512	26.909443
1430801408	248071260672	1827323392	512	27.362635
248071260672	495796224	1532638720	512	30.631032
495796224	249811277312	207377920	512	37.932905
249811277312	2014137344	1310963200	512	29.762696
2014137344	247675847680	848574464	512	31.052920
247675847680	1137227264	1725484544	512	28.041068
1137227264	249271708672	973621760	512	30.327038
249271708672	2290446336	2126840832	512	31.165055
2290446336	248046190592	942608384	512	28.714077
248046190592	1701889024	1531165696	512	35.272446
1701889024	249215659520	1594332672	512	29.621152
249215659520	161845248	54288896	512	27.579024
161845248	248937307136	332641280	512	35.139285
248937307136	1140658176	1311454208	512	36.240646
1140658176	248780532736	1468228608	512	30.925096
248780532736	100348416	427918848	512	35.689590
100348416	249298885632	90434048	512	36.551722
249298885632	567185920	376403456	512	27.350647
567185920	248354909184	1320379904	512	27.312337
248354909184	792513024	1545707008	512	32.825364
792513024	247644264448	2038615552	512	28.871653
247644264448	526053376	1989892096	512	25.155876
526053376	249377707008	256449536	512	30.941752
249377707008	1191531008	921927168	512	29.840293
1191531008	249683470848	616163328	512	33.332717
249683470848	1498282496	922914816	512	28.952821
1498282496	248320833536	2009415168	512	31.919113
248320833536	1984278528	1523419136	512	26.494616
1984278528	248128718336	1331303936	512	28.849279
248128718336	290143232	1269528064	512	36.244344
290143232	249392678400	5568000	512	37.771684
249392678400	1089237504	804662272	512	27.253206
1089237504	249469690880	727649792	512	30.742376
249469690880	1239859712	878272000	512	32.640266
1239859712	249203587072	1144375808	512	28.248960
249203587072	2244121088	2146330112	512	25.683729
2244121088	248688770560	1631513600	512	32.560030
248688770560	1005213184	1424545792	512	29.522916
1005213184	248301986304	1811330048	512	32.221369
248301986304	378054656	1184171520	512	33.661477
378054656	249652240896	166083072	512	35.769395
249652240896	1960370176	1416232448	512	26.757713
1960370176	247883072512	1109566464	512	30.111819
247883072512	869256704	2094287360	512	30.112960
869256704	248368131584	1609228288	512	26.497363
248368131584	1550254080	2004741632	512	29.312088
1550254080	247803685376	1440295424	512	28.443258
247803685376	249703936	1554121728	512	25.268540
249703936	249306551808	51255296	512	25.201760
249306551808	842653696	644205056	512	32.134745
842653696	248978335744	972421120	512	26.735735
248978335744	17266688	147034112	512	29.311155
17266688	249161726976	36357120	512	30.349149
249161726976	2429515264	1919075840	512	28.891038
2429515264	248963765248	1721114112	512	28.487100
248963765248	1658578944	1802916864	512	27.076348
1658578944	249484601344	1282080768	512	24.647551
249484601344	733568000	357069824	512	25.396392
733568000	248431293952	1410377216	512	31.105807
248431293952	315507200	992316416	512	26.021340
315507200	247981238784	1442371584	512	31.142132
247981238784	2462048256	706054656	512	24.409552
2462048256	249260487680	1985303552	512	30.170036
249260487680	1235368960	1082984448	512	31.271389
1235368960	249571333120	772139008	512	25.200051
249571333120	30294528	432935424	512	28.725788
30294528	249236624896	98227200	512	28.395311
249236624896	498198016	369676288	512	28.919101
498198016	249956771840	350470656	512	31.764379
249956771840	2480810496	1632141824	512	26.036021
2480810496	249605053440	1983860224	512	28.143165
249605053440	75251712	421698560	512	32.998084
75251712	248492747776	690607104	512	28.369739
248492747776	1346720768	1962076160	512	27.851155
1346720768	249300240896	1154583040	512	30.301210
249300240896	82832896	109304832	512	24.168084
82832896	249109520384	81415680	512	30.868974
249109520384	1168159232	1166742016	512	29.683993
1168159232	248711042560	1565219840	512	35.859902
248711042560	1755854848	2142051840	512	29.202285
1755854848	249292898304	1571059712	512	30.944097
249292898304	1079177216	894382080	512	30.456991
1079177216	248033045504	2140732416	512	24.791226
248033045504	99662336	1174720000	512	25.521770
99662336	248952815104	254950400	512	26.679506
248952815104	98936320	254224384	512	32.206986
98936320	247650522624	1556516864	512	24.322624
247650522624	1925798912	911587840	512	31.752179
1925798912	248346913280	1607978496	512	28.587817
248346913280	2072813056	1460964352	512	25.057516
2072813056	248641670144	1755721216	512	28.560502
248641670144	102994944	569427968	512	31.254363
102994944	249360590336	149492224	512	32.111967
249360590336	1384895488	1132408320	512	30.861339
1384895488	247740314624	1542283264	512	30.921420
247740314624	1147698688	1779480064	512	29.516122
1147698688	249973297152	282504704	512	32.182604
249973297152	2075675648	1210481664	512	27.434510
2075675648	247932422144	1043610624	512	29.850081
247932422144	2005280256	1114006016	512	27.554316
2005280256	250023403008	1089980416	512	29.983043
250023403008	1681806848	766507008	512	27.240481
1681806848	248977262592	1812647424	512	25.906856
248977262592	186048512	316889088	512	32.359116
186048512	247783687168	1510464512	512	27.723996
247783687168	2224547328	746003968	512	25.940508
2224547328	247688297984	650614784	512	30.730212
247688297984	753425920	2121736192	512	25.327402
753425920	249122716160	738812928	512	30.768947
249122716160	675385856	660772864	512	30.870490
675385856	248069211648	1714277376	512	31.044438
248069211648	1380500992	1875574784	512	32.212244
1380500992	249702558720	786045440	512	28.638913
249702558720	2198188544	1603732992	512	26.493897
2198188544	248380595712	1369271296	512	26.765053
248380595712	1677028864	1890430976	512	26.211712
1677028864	249784116736	1001015296	512	26.804296
249784116736	1540634112	864620544	512	31.943382
1540634112	247872808448	1519038464	512	26.856446
247872808448	1893960704	1165711872	512	29.277437
1893960704	248516352512	1809255936	512	30.344915
248516352512	786998272	1378748928	512	29.693304
786998272	247681624576	2081490432	512	30.010174
247681624576	438109696	1864588288	512	31.590161
438109696	248985028096	561184768	512	32.274847
248985028096	995524096	1118599168	512	26.323492
995524096	248104346112	1999281152	512	26.802697
248104346112	1825232896	1465977344	512	24.403613
1825232896	250040763904	892572160	512	32.961269
250040763904	232806400	699854336	512	32.046201
232806400	250032423424	691513856	512	32.907477
250032423424	2059406848	1135086592	512	26.529981
2059406848	249050030080	2117479936	512	24.941661
249050030080	1196922368	1254995456	512	27.163481
1196922368	249300745728	1004279808	512	30.092240
249300745728	2453095424	2034514432	512	24.581818
2453095424	249817623552	1743575040	512	30.362593
249817623552	1001402880	291882496	512	30.577650
1001402880	248445261312	1664244736	512	28.561694
248445261312	1752906752	1879218688	512	25.236472
1752906752	248500204544	1934161920	512	28.279152
248500204544	185911296	793809920	512	24.529454
185911296	249316611584	22597120	512	29.750018
249316611584	1304900096	1096391680	512	28.428859
1304900096	249294119424	1118883840	512	25.339112
249294119424	268742144	82725888	512	30.180771
268742144	250042581504	665736192	512	24.288222
250042581504	2025574400	1091096064	512	27.385153
2025574400	249804364800	1329312768	512	27.406394
249804364800	301199360	395062272	512	29.993738
301199360	247653130240	1756172288	512	25.513244
247653130240	1597591552	1242402816	512	30.704543
1597591552	247644683776	1233956352	512	31.218793
247644683776	2261060608	570487296	512	32.715832
2261060608	249903195648	1465968128	512	27.868817
249903195648	1371015168	575922688	512	25.161388
1371015168	249279281152	1199837184	512	29.918680
249279281152	3899392	167278592	512	29.132942
3899392	247920801792	1191200768	512	24.715392
247920801792	340238336	1527539712	512	29.145546
340238336	249919644160	471302656	512	28.243448
249919644160	1468755456	657214464	512	26.880477
1468755456	247817015296	1535123968	512	25.403903
247817015296	854969856	2146057728	512	30.166971
854969856	248926891520	1036181504	512	29.077772
248926891520	120284672	301496320	512	32.154762
120284672	248588342272	640045568	512	30.621432
248588342272	19287552	539048448	512	25.864178
19287552	248906972160	220418560	512	31.049556
248906972160	315391488	516522496	512	31.097792
315391488	248779256832	644237824	512	24.722601
248779256832	1226113024	1554959360	512	32.536890
1226113024	249439728640	894487552	512	30.293553
249439728640	1870453248	1538827776	512	30.914220
1870453248	249495137792	1483418624	512	31.438990
249495137792	262425088	124609536	512	28.537653
262425088	247852117504	1518410752	512	25.011422
247852117504	1773738496	1265243136	512	28.691338
1773738496	249625304064	1256537600	512	29.016470
249625304064	1845891584	1328690688	512	26.137889
1845891584	249959856640	994138112	512	29.413869
249959856640	345572864	506180608	512	28.613893
345572864	248214070784	1239605248	512	29.590273
248214070784	190557184	1084589568	512	30.853064
190557184	247959554048	1339106304	512	26.275891
247959554048	1227287552	1919130624	512	31.805689
1227287552	248579497472	1755893248	512	30.191579
248579497472	1979195904	1787165696	512	26.444841
1979195904	249740347392	1346951680	512	31.964275
249740347392	784774656	152530432	512	29.204264
784774656	249713293824	179584000	512	25.352735
249713293824	2200390656	1595200000	512	26.413035
2200390656	248904364544	1890838016	512	29.097777
248904364544	2118922240	1972306432	512	25.998425
2118922240	249739370496	1487654912	512	27.458705
249739370496	2291500032	1660232704	512	26.284578
2291500032	249858594816	1541008384	512	28.483381
249858594816	1619972096	869480448	512	27.964077
1619972096	248156667392	1723559424	512	30.667908
248156667392	1400089088	1943442432	512	26.428249
1400089088	247658649088	1445424128	512	30.172331
247658649088	2426100224	419412992	512	26.512948
2426100224	248781323776	1542087680	512	24.074141
248781323776	2360673280	1607514624	512	31.284254
2360673280	248283150336	1109341184	512	31.232475
248283150336	1959854592	1510159872	512	27.135581
1959854592	248636876288	1863885824	512	28.088572
248636876288	1569264128	2040491008	512	27.520660
1569264128	247599215104	1216815104	512	30.064026
247599215104	1563350016	1222729216	512	30.446767
1563350016	248177333248	1800847360	512	28.458882
248177333248	1617480704	1746716672	512	26.156891
1617480704	249474304512	1251279360	512	27.647533
249474304512	328979456	37221888	512	31.908285
328979456	248467716096	969366528	512	27.899110
248467716096	811177472	1451564544	512	29.626324
811177472	247881123328	2038157312	512	24.157010
247881123328	1177922560	1890064896	512	30.932698
1177922560	247566115328	1575056896	512	27.222630
247566115328	2305026048	447953408	512	31.436014
2305026048	248091901440	973739520	512	29.314840
248091901440	1181009920	2097755648	512	31.243214
1181009920	247939230720	1945084928	512	26.495455
247939230720	2163187712	962907136	512	29.101355
2163187712	248835218432	1858894848	512	29.342715
248835218432	650966016	923850752	512	25.422858
650966016	249420384768	338684416	512	26.716119
249420384768	1606007296	1293725696	512	26.866453
1606007296	247768363520	1349220352	512	30.862412
247768363520	551516672	1891256320	512	28.270858
551516672	248674283008	985336832	512	28.308918
248674283008	687227392	1121047552	512	28.297872
687227392	249263835648	531494912	512	29.793920
249263835648	576124928	420392448	512	32.195470
576124928	249980019712	295791616	512	30.453427
249980019712	394049536	477867008	512	29.517925
394049536	249224211456	277941248	512	30.643265
249224211456	1060900864	944792576	512	24.499205
1060900864	249882475008	286529024	512	30.703178
249882475008	415930880	358440960	512	24.961827
415930880	247705999872	1818034176	512	29.495818
247705999872	485029376	1887132672	512	32.159188
485029376	247667538944	1925593600	512	31.889324
247667538944	1696901632	1157501440	512	25.122243
1696901632	249048067072	1756937728	512	30.852949
249048067072	1747235328	1807271424	512	29.599101
1747235328	248329644032	1769272832	512	30.167263
248329644032	664729088	1443188224	512	26.513121
664729088	248458576896	1314255360	512	29.807979
248458576896	1732136448	1913304576	512	30.845550
1732136448	248532520960	1987248640	512	29.214634
248532520960	533453312	1109035520	512	27.418762
533453312	249756173824	114617344	512	35.268194
249756173824	1652716032	1004645376	512	25.131521
1652716032	248002807296	1536955392	512	28.496333
248002807296	1783571968	1406099456	512	32.421429
1783571968	248212708352	1616000512	512	27.676773
248212708352	1353237504	2046334976	512	31.633984
1353237504	248811809280	1649531392	512	26.953076
248811809280	2358003200	1640670208	512	30.968225
2358003200	247978462720	807323648	512	27.905487
247978462720	2029538304	1135788544	512	24.295460
2029538304	248721530368	1878856192	512	31.877358
248721530368	1649524224	2036097024	512	30.206408
1649524224	247592251392	1129591296	512	28.460049
247592251392	1670795264	1108320256	512	26.649638
1670795264	247726662144	1242731008	512	30.767624
247726662144	811314688	2102211584	512	32.121438
811314688	250045142528	125724672	512	33.186102
250045142528	2041814528	1104775168	512	30.697394
2041814528	248566961152	1712010752	512	26.669752
248566961152	1480579072	2021721088	512	27.755040
1480579072	249167707136	1420975104	512	26.033098
249167707136	1668158464	1608554496	512	31.836505
1668158464	248584969216	2103674880	512	34.860354
248584969216	1858970624	1912862720	512	27.628891
1858970624	249161140224	1805933568	512	26.902822
249161140224	361083392	308046336	512	36.577212
361083392	248251338752	1217847808	512	25.702189
248251338752	1208139776	2064904192	512	29.138874
1208139776	248432250368	1883992576	512	26.471975
248432250368	929370624	1605223424	512	30.102848
929370624	248068164608	1969309184	512	32.169926
248068164608	2331003904	924024832	512	28.622847
2331003904	249611287040	1827820032	512	32.546518
249611287040	1615322112	1112138240	512	31.585460
1615322112	249255660544	1467764736	512	25.377251
249255660544	1723286016	1575728640	512	30.849743
1723286016	249317228032	1514161152	512	28.879959
249317228032	986792960	777668096	512	31.491725
986792960	248050695168	2044200960	512	36.166703
248050695168	1737850368	1499708928	512	29.420036
1737850368	247755389440	1204403200	512	29.505305
247755389440	2350794752	591458816	512	31.682386
2350794752	249607585792	1851312128	512	29.469479
249607585792	771948032	272465408	512	28.535354
771948032	249909720576	29669376	512	33.225938
249909720576	1535251968	733634560	512	30.030141
1535251968	249730415104	912940032	512	27.114752
249730415104	342788608	279523328	512	29.076797
342788608	249987448320	536556544	512	25.289177
249987448320	447216128	432129024	512	31.867136
447216128	249819421696	264102400	512	30.477674
249819421696	856891392	145572864	512	33.219373
856891392	248624785408	1340209152	512	32.288939
248624785408	473249792	956567552	512	28.364969
473249792	249324918272	256434688	512	25.152569
249324918272	810533888	593718784	512	30.902038
810533888	248165893632	1752743424	512	35.572600
248165893632	2165526016	1187231744	512	32.289603
2165526016	248699247616	1720585728	512	31.320423
248699247616	1442597376	1851452928	512	30.771987
1442597376	249769518592	781181952	512	37.372051
249769518592	1699036160	1037620736	512	37.242454
1699036160	248291783168	1779611136	512	29.968707
248291783168	265787392	1082107392	512	36.299129
265787392	249824320000	450429440	512	30.250304
