base_offset	offset	absdelta	probe_length	millis
150635211776	150634609152	602624	512	33.753661
85395333632	85394661888	671744	512	9.185024
60547437056	60546552832	884224	512	7.665190
101012163072	101011516928	646144	512	9.309267
107564177408	107563468800	708608	512	8.560506
118472346112	118471672320	673792	512	8.751119
1940360192	1939658240	701952	512	2.680834
83147279872	83146292736	987136	512	6.400539
199259094528	199258126848	967680	512	2.471849
183620110336	183619076608	1033728	512	2.343529
62325144576	62324323328	821248	512	8.083133
50661812224	50660764672	1047552	512	6.254146
167668562432	167667542016	1020416	512	4.488767
66187107840	66186371072	736768	512	8.906056
76873352704	76872733696	619008	512	2.797372
141860879360	141860150784	728576	512	9.320412
229955284480	229954254336	1030144	512	8.295586
34052779008	34052046336	732672	512	9.062200
183842907648	183841862144	1045504	512	2.245607
101310350336	101309368320	982016	512	6.223905
175626066432	175625298944	767488	512	6.930584
1578480128	1577688064	792064	512	8.869545
199722122240	199721561600	560640	512	8.585406
143545992704	143545071104	921600	512	6.018978
124113312768	124112784896	527872	512	1.872201
88514547712	88513861632	686080	512	8.938908
146169949184	146169047552	901632	512	6.185148
232975572480	232974991360	581120	512	7.081892
17849497600	17848761344	736256	512	9.130717
58624926720	58624217600	709120	512	9.122915
3970208256	3969549312	658944	512	1.670324
174940155392	174939245056	910336	512	5.413250
36282206720	36281304576	902144	512	7.583819
2920820736	2920057856	762880	512	2.216220
64878768128	64877985280	782848	512	1.847623
55163819520	55162926080	893440	512	7.509898
167435915776	167435250688	665088	512	8.265698
220757988352	220757370368	617984	512	7.243459
67871499264	67870455296	1043968	512	6.101280
39220958720	39220002304	956416	512	7.243516
19387192320	19386480128	712192	512	2.457327
126740196864	126739233792	963072	512	5.993923
53285474816	53284785664	689152	512	9.288259
212042755072	212042015744	739328	512	5.995934
12028775424	12027829248	946176	512	5.807160
118672564224	118671913472	650752	512	8.955776
136426001920	136425333760	668160	512	8.755590
62187764224	62187227648	536576	512	3.676748
192925187072	192924443136	743936	512	6.625564
93380119040	93379225600	893440	512	7.090904
106789958144	106788944384	1013760	512	5.739483
52087283712	52086509568	774144	512	8.562749
153524339712	153523677184	662528	512	9.739453
241062243328	241061568000	675328	512	5.147453
106666771456	106666061312	710144	512	1.682141
197388844544	197387883520	961024	512	2.562572
233869935616	233869069312	866304	512	1.752478
9218892800	9218207744	685056	512	2.817021
202539544576	202538836480	708096	512	6.645418
240413495808	240412628992	866816	512	2.272655
241058822656	241058091008	731648	512	4.335771
246329366016	246328411648	954368	512	7.248238
228582715904	228581807104	908800	512	1.991365
116080836096	116080048640	787456	512	7.822571
158177789952	158177235456	554496	512	9.503848
207868132352	207867270656	861696	512	3.169323
50392599552	50392040960	558592	512	2.142054
78323114496	78322489856	624640	512	9.623563
102087454208	102086693376	760832	512	8.009925
170542955520	170542122496	833024	512	6.166128
237131734016	237131126272	607744	512	6.163301
242854427648	242853624320	803328	512	3.295192
29739010560	29738021376	989184	512	6.913966
7871419392	7870781440	637952	512	1.771762
116224312832	116223747584	565248	512	9.769409
67542986752	67542153728	833024	512	7.977984
152402148864	152401137664	1011200	512	4.836627
94345527808	94344693248	834560	512	7.629350
131827426816	131826570240	856576	512	6.810778
11585034752	11584419840	614912	512	1.909975
29100313088	29099322880	990208	512	6.927651
147103287296	147102487552	799744	512	7.224974
149089566208	149088707072	859136	512	6.666906
216663178240	216662341120	837120	512	3.121948
49225231872	49224535040	696832	512	9.193267
127926486528	127925919744	566784	512	1.904145
55272304128	55271436288	867840	512	7.750164
172195959808	172195082752	877056	512	5.773166
22059207168	22058649600	557568	512	3.728485
222027282944	222026460160	822784	512	4.144211
15753794560	15753140736	653824	512	1.886312
179595568640	179594538496	1030144	512	3.772205
239660997632	239660261888	735744	512	4.248306
85568259584	85567444480	815104	512	7.940736
69971882496	69970846720	1035776	512	6.210832
104536755712	104535951360	804352	512	7.686357
241070441984	241069571072	870912	512	9.174621
192856959488	192855990272	969216	512	4.097922
86192539648	86191541760	997888	512	4.973893
118627560960	118626804224	756736	512	7.899577
30547675136	30546941440	733696	512	9.042614
234226820608	234226158080	662528	512	5.973500
163673093632	163672389120	704512	512	7.814020
123742807040	123742017536	789504	512	7.582192
55375224832	55374474752	750080	512	8.762779
216953649152	216953065472	583680	512	9.090590
141518354944	141517381120	973824	512	5.500715
202485993984	202485452800	541184	512	1.740531
205276566016	205275612672	953344	512	2.302395
92216706048	92215941120	764928	512	8.246350
72050882048	72050353152	528896	512	2.324664
80979696128	80978733056	963072	512	6.643727
137849707008	137848986624	720384	512	8.185568
152939201536	152938224640	976896	512	5.196054
193846839808	193846127104	712704	512	7.026828
165868819968	165868174336	645632	512	8.415612
67567171584	67566432256	739328	512	8.775608
203538423296	203537564160	859136	512	4.804891
167761016320	167759982080	1034240	512	4.410730
125750635520	125749833728	801792	512	7.507875
241293996032	241292952576	1043456	512	6.588803
77320192	76350976	969216	512	7.470771
103263180800	103262179840	1000960	512	5.847977
150722197504	150721520128	677376	512	8.285364
126927527424	126926779904	747520	512	8.069694
107539593216	107539040768	552448	512	3.124573
33501721088	33501074432	646656	512	2.881693
109502585856	109501888000	697856	512	8.651387
241144710144	241144039424	670720	512	3.890101
47502415872	47501462016	953856	512	7.039602
196654605312	196653815296	790016	512	5.942429
226758883328	226757854720	1028608	512	9.616822
119535084032	119534369280	714752	512	8.359153
128446189568	128445164544	1025024	512	5.441185
210396073472	210395264512	808960	512	3.745140
49613982720	49613068288	914432	512	7.448618
174887458816	174886808576	650240	512	8.187069
214407749120	214407080960	668160	512	6.814734
198373502464	198372505088	997376	512	3.491557
236825974272	236825060864	913408	512	2.471155
61174785024	61173750272	1034752	512	6.347831
187183416320	187182844416	571904	512	1.933823
174504863232	174504129536	733696	512	7.294099
115700299776	115699373056	926720	512	6.466518
227452520448	227451930624	589824	512	7.246915
115475964416	115475326976	637440	512	9.222041
138477835776	138477261312	574464	512	2.691109
48463942144	48463086080	856064	512	7.877126
143977038848	143976379904	658944	512	8.625079
103464024064	103463257088	766976	512	8.029790
244601536000	244600983040	552960	512	7.035969
194633548800	194632814592	734208	512	6.811032
155292907008	155292155904	751104	512	7.516487
47765881856	47764889600	992256	512	6.757629
69303458816	69302626816	832000	512	7.976042
34372094976	34371238400	856576	512	8.034105
36451024896	36450257408	767488	512	8.771582
228327885312	228326931456	953856	512	9.304639
2741015040	2740356096	658944	512	3.016065
99641682944	99640951808	731136	512	8.562686
231025099264	231024096256	1003008	512	6.702132
30852711936	30852158976	552960	512	2.287170
41233965056	41233243648	721408	512	9.164320
36299949056	36299296256	652800	512	1.871270
244913617920	244912782848	835072	512	9.707212
85191120896	85190249984	870912	512	5.796462
152865367552	152864445952	921600	512	5.806277
160877253120	160876467200	785920	512	6.964895
160078245376	160077424640	820736	512	6.790268
132590191616	132589299200	892416	512	4.873464
173882688000	173881789952	898048	512	5.556312
89788209664	89787178496	1031168	512	5.851258
144731657728	144730664448	993280	512	5.313971
166200641024	166199729152	911872	512	5.641347
103307892736	103307077120	815616	512	7.578457
111157270528	111156241408	1029120	512	5.604843
221282326016	221281465344	860672	512	2.824992
176511672320	176511103488	568832	512	9.128754
139047559680	139046590976	968704	512	5.789416
4656410112	4655466496	943616	512	7.661712
87133548032	87132699136	848896	512	7.587807
53251953152	53251008512	944640	512	7.146307
246827009536	246826274304	735232	512	2.361762
16231709184	16231033856	675328	512	2.732410
139216829440	139215838208	991232	512	5.556474
100041177600	100040546816	630784	512	2.585741
95116607488	95115936256	671232	512	9.122452
200321785856	200321134592	651264	512	7.517073
243348325376	243347660800	664576	512	5.323871
107940305408	107939466240	839168	512	7.351407
238036816896	238036006400	810496	512	1.727466
232842632192	232841990656	641536	512	6.250147
133428756992	133428068864	688128	512	8.456935
150804541952	150803987968	553984	512	9.498250
150091185664	150090524672	660992	512	8.397274
236400357376	236399547392	809984	512	3.902162
166902388224	166901555712	832512	512	6.473794
218411000320	218410274816	725504	512	5.982474
115846667776	115846018560	649216	512	9.079838
66258639360	66257974272	665088	512	2.510178
235074110464	235073503744	606720	512	6.708456
217987188736	217986326016	862720	512	2.790959
177597847552	177597171712	675840	512	9.040045
170442521600	170441757184	764416	512	6.990516
195101632512	195100672512	960000	512	3.951598
71634642944	71633907712	735232	512	8.791324
109392611328	109391574528	1036800	512	5.501951
246415063040	246414184960	878080	512	8.436980
41179112448	41178497024	615424	512	1.729114
40550366720	40549596672	770048	512	1.849670
207946534912	207945688064	846848	512	4.657612
128380717056	128379940352	776704	512	7.767672
246864656384	246863739904	916480	512	9.169398
186101664256	186100795392	868864	512	5.542391
179505245696	179504320000	925696	512	3.553842
165169598976	165168843264	755712	512	7.276709
153456878080	153456162816	715264	512	7.879261
56645996544	56645457408	539136	512	2.311190
33746552320	33745902592	649728	512	1.863579
18919715328	18918868480	846848	512	6.800291
229254178304	229253477376	700928	512	5.878105
102938274816	102937673728	601088	512	2.664313
15261889536	15260919296	970240	512	7.260949
33357892096	33357332480	559616	512	2.097334
40236392448	40235355648	1036800	512	6.565667
69136162816	69135469056	693760	512	9.275742
75993577984	75992969216	608768	512	1.877467
10661689856	10661108224	581632	512	2.149980
127547355648	127546517504	838144	512	7.237925
43199155200	43198173696	981504	512	6.995985
270251520	269473280	778240	512	2.101699
226261721600	226261168640	552960	512	7.771707
176577985024	176577191424	793600	512	6.661002
125111840256	125110868480	971776	512	5.929839
206143327232	206142734336	592896	512	9.331478
63814606848	63813707776	899072	512	7.402700
78020532736	78019597824	934912	512	6.956804
39593814016	39592853504	960512	512	7.152191
226206267392	226205656576	610816	512	7.000337
188414162432	188413296640	865792	512	5.287578
245527081472	245526178816	902656	512	9.384984
126104336896	126103619072	717824	512	9.675345
196744657920	196743924736	733184	512	6.582026
206676935680	206676055040	880640	512	9.834040
68549157376	68548296704	860672	512	7.764640
88859558912	88858889216	669696	512	9.129817
89364018688	89363418624	600064	512	2.840816
241716488704	241715907072	581632	512	6.544102
91234724352	91233752576	971776	512	4.706030
44675441664	44674723328	718336	512	9.162957
72165722624	72164692992	1029632	512	6.248614
148264453632	148263533568	920064	512	6.033857
141576546304	141575800832	745472	512	7.748288
6751206912	6750179840	1027072	512	8.379866
218635088896	218634475008	613888	512	7.239705
176389224960	176388607488	617472	512	8.542400
139240742400	139240004096	738304	512	9.350825
106820472320	106819630080	842240	512	7.314162
95772120576	95771162624	957952	512	6.522445
145743685120	145742929920	755200	512	7.670226
194953112576	194952260608	851968	512	3.989276
142035997696	142035145728	851968	512	6.689171
136015163392	136014247936	915456	512	6.226515
22062385664	22061806080	579584	512	3.551221
242997440512	242996845056	595456	512	4.981004
227979965440	227979006976	958464	512	9.249743
229437210624	229436167680	1042944	512	8.073302
39827604480	39826956288	648192	512	9.748586
62691577344	62690659328	918016	512	7.224129
141945997824	141945197056	800768	512	7.189036
62934624256	62933906944	717312	512	8.974127
93541684736	93540953600	731136	512	8.538875
172476293632	172475750912	542720	512	9.303130
33032992768	33032187904	804864	512	8.473203
152410253312	152409625088	628224	512	8.764052
208544243712	208543644672	599040	512	9.020644
208303459328	208302646272	813056	512	5.085086
198376472064	198375468544	1003520	512	3.494577
249924427776	249923751936	675840	512	4.689730
137801269248	137800721920	547328	512	9.852604
103653617664	103652905472	712192	512	1.624295
125479131648	125478226432	905216	512	6.623499
74258312704	74257287680	1025024	512	6.062822
119285627392	119284888576	738816	512	8.119068
26876471808	26875804672	667136	512	9.577389
233667202560	233666528256	674304	512	5.789331
102879032320	102878242304	790016	512	7.787340
206985980416	206985035264	945152	512	3.819757
164628184064	164627211776	972288	512	3.649429
63758965248	63758097920	867328	512	7.684148
93502190080	93501398528	791552	512	7.999148
189030765056	189029828096	936960	512	4.491631
15085184512	15084310528	873984	512	7.984311
199716240896	199715640832	600064	512	8.141417
36015769600	36014839808	929792	512	7.401406
231928655872	231928040960	614912	512	5.242702
215491773952	215490975232	798720	512	5.000237
246744881152	246744321536	559616	512	5.082180
97485788160	97484942848	845312	512	7.521013
220119508992	220118709760	799232	512	4.958720
124962193408	124961153024	1040384	512	5.245038
228836543488	228835763712	779776	512	3.367387
72647669760	72646837760	832000	512	7.978883
120481519104	120480783360	735744	512	8.176109
49926344704	49925497856	846848	512	9.312268
12395525632	12394494976	1030656	512	6.749644
8335832064	8334907904	924160	512	9.202258
222684928512	222684078080	850432	512	2.427886
213996025344	213995120640	904704	512	3.944011
211542783488	211541962752	820736	512	4.981812
6962137088	6961246208	890880	512	8.101053
22230882304	22229837312	1044992	512	6.666654
163604190720	163603205632	985088	512	4.889182
95696261120	95695422464	838656	512	7.655306
83723751936	83722854912	897024	512	7.223382
97679518720	97678690304	828416	512	7.660444
230563818496	230562959360	859136	512	3.201320
